epoch,heldout_loss,heldout_class_loss,val_tags_f,heldout_f_rmtto,heldout_frm,heldout_tto1,heldout_tto2,test_loss,test_class_loss,test_tags_f,test_f_rmtto,test_frm,test_tto1,test_tto2,train_loss
1,0.280312868582,5.8833503398,0.920777785079,0.920777785079,0.920777785079,0.920777785079,0.920777785079,0.261052023491,5.89291361644,0.926642684019,0.926642684019,0.926642684019,0.926642684019,0.926642684019,0.33735212172
2,0.27187506863,6.02820112449,0.925403526146,0.925403526146,0.925403526146,0.925403526146,0.925403526146,0.251758129503,6.03296086129,0.930210616884,0.930210616884,0.930210616884,0.930210616884,0.930210616884,0.281733775436
3,0.286374546997,6.49911685252,0.924096750738,0.924096750738,0.924096750738,0.924096750738,0.924096750738,0.266334475219,6.56186278406,0.929263386579,0.929263386579,0.929263386579,0.929263386579,0.929263386579,0.267461712878
4,0.330369556046,7.09084629737,0.924606857792,0.924606857792,0.924606857792,0.924606857792,0.924606857792,0.30520806527,7.15262686845,0.92985226547,0.92985226547,0.92985226547,0.92985226547,0.92985226547,0.258492196446
5,0.321449358023,6.90733788484,0.923395322362,0.923395322362,0.923395322362,0.923395322362,0.923395322362,0.301487558585,6.79540197799,0.928309964954,0.928309964954,0.928309964954,0.928309964954,0.928309964954,0.251897912679
6,0.333743550681,7.18578164148,0.920646066675,0.920646066675,0.920646066675,0.920646066675,0.920646066675,0.312764653498,6.84595674099,0.925631955231,0.925631955231,0.925631955231,0.925631955231,0.925631955231,0.246744948338
7,0.393492420683,7.59362780444,0.911754702789,0.911754702789,0.911754702789,0.911754702789,0.911754702789,0.383386306451,7.4845941312,0.914172457753,0.914172457753,0.914172457753,0.914172457753,0.914172457753,0.242555320587
8,0.396886112944,6.76201668395,0.903549952435,0.903549952435,0.903549952435,0.903549952435,0.903549952435,0.425943506881,6.50702502619,0.898822809614,0.898822809614,0.898822809614,0.898822809614,0.898822809614,0.238944588284
9,0.401253089994,6.5681024549,0.90304595809,0.90304595809,0.90304595809,0.90304595809,0.90304595809,0.466862409866,5.89230308646,0.889537631068,0.889537631068,0.889537631068,0.889537631068,0.889537631068,0.235691528851
10,0.407906591253,6.69557350376,0.904007375855,0.904007375855,0.904007375855,0.904007375855,0.904007375855,0.436187256543,6.17389944145,0.896421019126,0.896421019126,0.896421019126,0.896421019126,0.896421019126,0.232710740407
11,0.426807436155,6.66651467247,0.902606898743,0.902606898743,0.902606898743,0.902606898743,0.902606898743,0.46909362179,6.20386508377,0.892392895362,0.892392895362,0.892392895362,0.892392895362,0.892392895362,0.229966267263
12,0.4579056993,6.7355873925,0.895851508071,0.895851508071,0.895851508071,0.895851508071,0.895851508071,0.475273927471,6.10778092839,0.891491838138,0.891491838138,0.891491838138,0.891491838138,0.891491838138,0.227441191697
