epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm,train_loss
1,0.291099,0.91150765516,0.187012987013,0.28713,0.91335463078,0.155952833777,0.279193473741
2,0.263649,0.923255381224,0.36947094536,0.261791,0.923180071733,0.316620879121,0.229657443464
3,0.255984,0.923299339366,0.399657924743,0.258684,0.923272659031,0.374038139846,0.2082866107
4,0.230408,0.93223589527,0.508947368421,0.232858,0.930137527968,0.462597809077,0.193025169859
5,0.225185,0.935071770397,0.553675170498,0.229486,0.93348085944,0.508270676692,0.183138799227
6,0.21816,0.934759844587,0.581818181818,0.221654,0.933098970875,0.533918128655,0.175552700342
7,0.211421,0.937553764004,0.591945657448,0.217056,0.935071445495,0.531060387171,0.16958372352
8,0.210371,0.93892632725,0.605066344994,0.214827,0.936984808614,0.566562588703,0.164616458014
9,0.210602,0.938881306574,0.602403728232,0.214764,0.937467478351,0.558220167582,0.160305521245
10,0.205748,0.941975220123,0.654545454545,0.209589,0.939889285214,0.61289466702,0.156724176616
11,0.20437,0.941990783575,0.650917431193,0.207464,0.940711968793,0.603947012706,0.153243021443
12,0.197795,0.94418148663,0.667579283596,0.201208,0.942730185109,0.625773473231,0.150271042059
13,0.205569,0.940131310816,0.624397299904,0.210823,0.938348489048,0.586598523566,0.147351063891
14,0.19945,0.943013877653,0.64034050603,0.204244,0.940474266619,0.602564102564,0.144949322495
15,0.200041,0.941984037669,0.661801596351,0.207209,0.940080684081,0.626655852933,0.142810013129
16,0.19625,0.943656074416,0.66266451166,0.198393,0.941798273022,0.634912043302,0.140466791804
17,0.193872,0.945299539638,0.665124884366,0.198633,0.942911928523,0.63537710255,0.138761666662
18,0.200631,0.942332310282,0.649516167099,0.202122,0.940252480659,0.602701181767,0.137016208625
19,0.197176,0.943249573886,0.63514162266,0.204115,0.940299631004,0.5875,0.13543634994
20,0.199272,0.943830159753,0.668957617411,0.202511,0.941042640443,0.628477905074,0.134015607904
21,0.195358,0.945118435405,0.677850827477,0.195022,0.944549861044,0.638027048528,0.132709990494
22,0.203521,0.942153019489,0.632741238598,0.206826,0.940627996584,0.60370994941,0.131282553819
23,0.189692,0.946718672114,0.674857792947,0.192769,0.94435244576,0.646556326749,0.129949835537
24,0.19254,0.945222642417,0.671724137931,0.195497,0.944761270141,0.638550959719,0.128864260223
25,0.192447,0.946215957083,0.687318921328,0.195401,0.94588627191,0.663561076605,0.127794653638
26,0.192327,0.946642897029,0.687135813537,0.193983,0.945731173064,0.660946437858,0.126739101612
27,0.191198,0.945818702333,0.674937965261,0.19567,0.943939598646,0.653622421999,0.125826641234
28,0.19403,0.94634719582,0.690571049137,0.196667,0.944972137486,0.655414178136,0.124678700094
29,0.189487,0.946319675649,0.69128113879,0.193646,0.945609158443,0.666666666667,0.124020942287
30,0.191152,0.946909282266,0.686864119376,0.192896,0.944267448085,0.648936170213,0.122965585784
31,0.20102,0.94340553661,0.639488030339,0.206459,0.940792502206,0.600843881857,0.122051046817
32,0.194761,0.945045975489,0.678652708239,0.199461,0.94231358874,0.643857758621,0.121364023504
33,0.195676,0.945471820126,0.673655423883,0.200878,0.943447915747,0.639569313594,0.120571220455
34,0.196187,0.944847768953,0.681343622333,0.200563,0.94309986858,0.645939426427,0.11978678224
35,0.190687,0.946003556999,0.671248568156,0.196301,0.944021495374,0.636072572038,0.119177553885
36,0.193384,0.946660607871,0.690861390468,0.196842,0.944410024929,0.654771140419,0.118327473009
37,0.195559,0.945351066205,0.675039963462,0.197934,0.944335140861,0.645454545455,0.117620511871
38,0.197686,0.945797448085,0.699875466999,0.199248,0.945466289156,0.683930300097,0.117185499703
39,0.200258,0.944455424353,0.69376344086,0.200908,0.944000294143,0.670136307311,0.116369390068
40,0.192413,0.946796610719,0.692495018818,0.194129,0.94661913747,0.674773609314,0.115779485995
41,0.201787,0.944416646775,0.659673659674,0.207246,0.942305926168,0.638692098093,0.11509936934
42,0.200456,0.946960227901,0.678986995209,0.205198,0.94417338702,0.651895355045,0.11473549343
43,0.196914,0.946414608655,0.695038588754,0.203624,0.944364738769,0.680752383406,0.114247591801
44,0.195102,0.94748867749,0.69605671245,0.196242,0.945955348301,0.677145065705,0.11334779018
45,0.194438,0.947115828645,0.687795010115,0.198637,0.94505548568,0.663340336134,0.113093063061
46,0.203729,0.945105516205,0.673285615331,0.204743,0.942791556432,0.635549525102,0.112633380007
47,0.201707,0.944878851037,0.657777777778,0.20721,0.942377554555,0.61341497356,0.112245606244
48,0.201942,0.945932478538,0.68073519401,0.205671,0.943478277276,0.644474034621,0.111886801835
49,0.19789,0.946139137092,0.696996081846,0.197182,0.945015092767,0.657135562931,0.11134994779
50,0.215271,0.942612939273,0.638237384506,0.219256,0.941233648994,0.609083310114,0.11096207581
51,0.193921,0.947859659754,0.695362769026,0.198473,0.945164383639,0.660041841004,0.110513491613
52,0.196516,0.947142691491,0.680426400544,0.200507,0.945017482546,0.649038461538,0.110128969535
