epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm
1,0.354784,0.891788283289,0.200128700129,0.335769,0.898705720963,0.169939577039
2,0.327626,0.903260178912,0.383954154728,0.310547,0.908732637618,0.338085539715
3,0.322436,0.905533475686,0.437049362174,0.30845,0.910037743643,0.404707420726
4,0.296925,0.912852918704,0.528865979381,0.283488,0.916998949015,0.482269503546
5,0.304208,0.913883509718,0.551671732523,0.288773,0.919034851819,0.508840275697
6,0.290425,0.916121089988,0.585794483769,0.274636,0.919801357216,0.551963048499
7,0.282228,0.919259874267,0.602792489167,0.270305,0.921597352897,0.555997725981
8,0.279813,0.920866213598,0.625059326056,0.26638,0.925219037127,0.589018302829
9,0.278554,0.922336671452,0.63936714751,0.265049,0.926412334721,0.608481532148
10,0.284188,0.9227439217,0.662582056893,0.266327,0.927428844953,0.65304036791
11,0.301798,0.917909042789,0.65670986163,0.285635,0.922076900932,0.631311849784
12,0.287951,0.922001532931,0.673456121343,0.272862,0.927121891759,0.654116465863
13,0.29991,0.924272597649,0.651348182884,0.284319,0.926823667812,0.619966905681
14,0.296348,0.926518336046,0.664378860673,0.279837,0.929249458743,0.633988688392
15,0.30641,0.923447962808,0.663814456204,0.28931,0.925449050214,0.631078224101
16,0.300513,0.926149497853,0.685342019544,0.277865,0.930913813339,0.671016311167
17,0.308067,0.926165298934,0.672994350282,0.290761,0.928748723365,0.637765957447
18,0.323429,0.924181231017,0.66395296246,0.298362,0.928287174471,0.641499330656
19,0.334847,0.924718499808,0.647860836859,0.31282,0.928677228313,0.623721316008
20,0.352782,0.923714942078,0.6640625,0.324072,0.927537171986,0.633144092998
21,0.310707,0.925763636166,0.688908528502,0.29297,0.930233397951,0.672502574665
22,0.365935,0.923576894809,0.659090909091,0.33502,0.928098137033,0.633442265795
23,0.328173,0.926964521918,0.697960078965,0.306861,0.930138876305,0.664959016393
24,0.335206,0.927010410917,0.686173777083,0.312407,0.930978043508,0.660742289597
25,0.32119,0.926283063238,0.687161723317,0.305956,0.929917748909,0.680139720559
26,0.330464,0.928147076752,0.691433566434,0.30685,0.93237036818,0.68482688391
27,0.332471,0.926789893872,0.697108066971,0.30609,0.93153932094,0.667347981604
28,0.3739,0.925463796595,0.678459471563,0.342729,0.929442939382,0.639318060735
29,0.326099,0.926928962885,0.701709401709,0.309529,0.931022387556,0.684016695311
30,0.345585,0.926373044895,0.687569988802,0.32192,0.930679075593,0.661650233524
31,0.349884,0.923709609704,0.695101351351,0.327049,0.929169043602,0.673755437409
32,0.344112,0.92777259551,0.701761658031,0.323516,0.931040647492,0.689268292683
33,0.358748,0.925775969374,0.684853775644,0.334385,0.930252758352,0.668511066398
34,0.377797,0.926603678196,0.68931823229,0.3498,0.930401530741,0.665283899404
35,100,100,0.685314685315,100,100,0.665518937531,
36,100,100,0.690756302521,100,100,0.68319961099,
37,100,100,0.698217317487,100,100,0.675628578541,
38,100,100,0.680261334389,100,100,0.667122351333,
