epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm,train_loss
1,0.28081,0.914367529741,0.248207047085,0.277605,0.916046004729,0.219941348974,0.270728726308
2,0.249979,0.928235032476,0.461746417951,0.248327,0.928536783234,0.418544752093,0.218987772299
3,0.243985,0.926856291144,0.439213514262,0.246993,0.925980965325,0.413770704774,0.197901218365
4,0.221364,0.935211878823,0.543222506394,0.224876,0.932224429279,0.492073170732,0.185172705353
5,0.216646,0.937738255448,0.589561382014,0.22206,0.935477405545,0.535714285714,0.176236187585
6,0.212559,0.936041471489,0.590964590965,0.216864,0.933884265437,0.545295659773,0.169475101601
7,0.205361,0.93972766044,0.608986615679,0.210924,0.936452341668,0.55287779983,0.164023368898
8,0.206061,0.940913411089,0.625118934348,0.210481,0.938438481911,0.580337078652,0.15925795408
9,0.20467,0.94129901324,0.625478927203,0.209145,0.93903225134,0.583427282976,0.155022673348
10,0.199401,0.943367148559,0.662443438914,0.203097,0.940987424145,0.622802344166,0.151467949549
11,0.198173,0.942961543293,0.6569476082,0.200885,0.941625692576,0.633059166888,0.148054561057
12,0.19487,0.94523643653,0.662836129625,0.198069,0.943353763882,0.633101231923,0.14512842134
13,0.202964,0.941665582937,0.626267503621,0.208241,0.939128534533,0.601469756925,0.142377254321
14,0.197885,0.944212016849,0.647003303445,0.203219,0.941118918582,0.617769166897,0.139966427755
15,0.198016,0.943731260211,0.675615212528,0.202919,0.942217442091,0.654478976234,0.137942179775
16,0.193172,0.945644245502,0.677644935709,0.194654,0.943920288113,0.651064948725,0.135680504966
17,0.192595,0.94550877195,0.665287356322,0.19662,0.943447669269,0.646112600536,0.134034306944
18,0.200959,0.942910307682,0.650652985075,0.201925,0.941549786969,0.62827510917,0.132281161438
19,0.1984,0.943588787315,0.64078132444,0.204373,0.940778180864,0.606400898372,0.130657875223
20,0.202947,0.943225255216,0.660037002775,0.206124,0.941209384402,0.628398791541,0.129232292272
21,0.196708,0.943998864599,0.666514285714,0.196111,0.944240736364,0.64558629776,0.128091946546
22,0.204967,0.942082069553,0.639523809524,0.207787,0.940805243449,0.618636995828,0.12659701007
23,0.191168,0.945650178239,0.66953178014,0.196378,0.94388221104,0.645350386358,0.12533133973
24,0.194689,0.94493885643,0.667579283596,0.197741,0.944131566376,0.646822204344,0.124326796541
25,0.191461,0.946955132096,0.682415868063,0.195304,0.945547098002,0.66735966736,0.123086420617
26,0.192626,0.946146151163,0.672951739618,0.19496,0.945714486084,0.663893943332,0.122339553534
27,0.192174,0.946093751003,0.677571140488,0.195858,0.944182392312,0.657150409728,0.12137501048
28,0.198346,0.946440444703,0.680662983425,0.200971,0.944354086894,0.658221302999,0.120291076858
29,0.192232,0.946168899057,0.686033519553,0.196146,0.945252400326,0.663188103313,0.119708091966
