epoch,val_loss,val_f,test_loss,test_f
0,0.42646915744,0.888056647806,0.400561798763,0.892769652557
1,0.404678672888,0.896570894524,0.381071517669,0.901537964748
2,0.524304415829,0.878880629997,0.510912118511,0.88038463209
3,0.395894498436,0.901812313971,0.363529779836,0.905992955864
4,0.415316870933,0.901002721806,0.378717831844,0.908008533471
5,0.4701678482,0.876773346288,0.437174360472,0.883487863638
6,0.370237032359,0.907792627203,0.345586538173,0.911084475391
7,0.412477469563,0.8927628918,0.394227932382,0.896706650577
8,0.456723152528,0.86921981992,0.445605973942,0.874247517165
9,0.423159905772,0.892971819456,0.392474485785,0.899131098033
10,0.393650312146,0.904818278549,0.359949072836,0.911297938549
11,0.392077315816,0.899590825019,0.372839351278,0.906179372669
12,0.399473823874,0.904080167585,0.368582930358,0.9102584655
13,0.511923070359,0.866914394069,0.462064710287,0.87856886402
14,0.432378025325,0.893467926783,0.402745187871,0.899482198178
15,0.453316250459,0.874472644567,0.422536119987,0.884867898934
16,0.415888286039,0.891528394011,0.384871093669,0.897520274825
17,0.392238083153,0.907207858838,0.362514699625,0.912439025148
18,0.407849470029,0.896997352927,0.377766720792,0.902752089655
19,0.416362301119,0.900729425779,0.380494384635,0.908585504879
20,0.404503059874,0.901454290676,0.384238245229,0.907006140159
21,0.4019453002,0.901778140063,0.360756960988,0.907429910039
22,0.571745158835,0.885674047335,0.538061087985,0.893163232268
23,0.407991044646,0.897104013153,0.385926754781,0.905258262567
24,0.529843938708,0.883155799865,0.507761827399,0.88858876739
25,0.426782217667,0.894899518808,0.394761741037,0.901064078982
26,0.442040040636,0.879396867833,0.412265605105,0.888518548943
27,0.409146909714,0.898246165827,0.390617470585,0.902267929826
28,0.415213094432,0.903359440394,0.383040295169,0.910310046919
29,0.484268377103,0.884277492423,0.453300915046,0.88927404766
30,0.389560327909,0.899992744157,0.360377064792,0.904505022047
31,0.388129121543,0.900659590063,0.370722473621,0.90518032395
32,0.417757581945,0.901818982042,0.385653073562,0.907480969312
33,0.43451207576,0.899356433848,0.396027430233,0.905774989776
34,0.413361430926,0.898246988486,0.391814221341,0.902624002057
35,0.436006888231,0.899033403894,0.410097987122,0.905810644319
36,0.390819292495,0.902576471375,0.371709628335,0.907120613202
37,0.419675335647,0.896833739447,0.394587918424,0.90258558084
38,0.41435079112,0.90151798901,0.375539714428,0.906985803886
39,0.385004130977,0.904628438706,0.365608079558,0.909212134894
40,0.441175974326,0.893249652618,0.403454870084,0.900490971829
41,0.403958668902,0.901516790308,0.378657204308,0.906797678539
