epoch,val_loss,val_f_rm,val_f,test_loss,test_f,test_f_rm,train_loss
1,0.300505,0.909725283093,0.143285571476,0.296642,0.911120800367,0.104150352388,0.291618790992
2,0.265717,0.923349557377,0.373594695878,0.263901,0.923887806987,0.336505778382,0.235477252379
3,0.250827,0.925621210811,0.416361071932,0.251791,0.924234807766,0.380825565912,0.210062270617
4,0.231655,0.932906840697,0.527239865737,0.233139,0.9309530665,0.47316471314,0.195471123684
5,0.226506,0.933376655868,0.546843177189,0.230888,0.931876564586,0.494857834241,0.186113268566
6,0.218521,0.934544411571,0.564653020469,0.221455,0.933057355692,0.524146054181,0.178528786616
7,0.212035,0.937494412783,0.587668593449,0.217046,0.935128112693,0.542431192661,0.172531645788
8,0.21005,0.938799171972,0.601496500121,0.214412,0.937371736726,0.563018005144,0.16762980639
9,0.20849,0.939365839571,0.607472100922,0.21329,0.937101697406,0.560069144339,0.163466975865
10,0.205899,0.941239510441,0.638952687184,0.208994,0.939606489289,0.610343893853,0.160172484986
11,0.201513,0.941312003771,0.629298162977,0.204279,0.939747366412,0.596940194715,0.157102745947
12,0.200712,0.941914644214,0.64168618267,0.204176,0.940931421849,0.621636463482,0.154407313288
13,0.207766,0.939770818986,0.608078335373,0.212757,0.937528606008,0.573079145003,0.15169402234
14,0.202286,0.942182357199,0.638691322902,0.205179,0.940489624446,0.614491150442,0.149666065894
15,0.200302,0.942680549681,0.664089151694,0.204661,0.940839633489,0.639850825786,0.147704257149
16,0.195978,0.943696802373,0.666055045872,0.196966,0.943147919278,0.645403377111,0.145695487315
17,0.194056,0.944012023055,0.666819852941,0.196803,0.942322625537,0.637172916105,0.144331448916
18,0.202942,0.940773864891,0.6288734086,0.204744,0.939463273826,0.595648488274,0.142779945447
19,0.198349,0.942003183035,0.627772420444,0.20238,0.940537650166,0.602368866328,0.141325815475
20,0.200983,0.942725726217,0.65,0.202509,0.940869347637,0.620498614958,0.139986123722
21,0.197441,0.943671044431,0.667275633706,0.196102,0.943767161783,0.640839386602,0.139081643114
22,0.206689,0.93950963756,0.622682398266,0.210654,0.938094603786,0.598921373829,0.137666980801
23,0.193695,0.945198979075,0.677610579115,0.195847,0.943215422423,0.643923240938,0.136526783285
24,0.193672,0.945300217394,0.679434564523,0.195101,0.944567962356,0.653825575174,0.135656776509
25,0.193673,0.946395487476,0.690771960958,0.195477,0.944702971483,0.667695473251,0.134411006084
26,0.19294,0.945684048564,0.679676985195,0.194049,0.944604821754,0.663712200209,0.13382282935
27,0.194504,0.94546341911,0.689071889606,0.196227,0.943432269826,0.664390756303,0.133034837152
28,0.194897,0.945935327805,0.6823635952,0.195785,0.944002226821,0.64578313253,0.13208133935
29,0.190652,0.946281175389,0.688691796009,0.192807,0.94501895109,0.669244650683,0.131539739754
30,0.195703,0.943663213492,0.663412366341,0.19849,0.942011967767,0.631203729092,0.130697077561
31,0.196506,0.944297063185,0.689186125595,0.197901,0.944081253031,0.654806160382,0.129844793137
32,0.192744,0.946102258422,0.68785620342,0.193486,0.945457551556,0.666666666667,0.129315217578
33,0.192258,0.94551356337,0.682274247492,0.19423,0.944968990392,0.666148263349,0.12877296254
34,0.193338,0.945610538982,0.675830469645,0.197311,0.943129876925,0.64204851752,0.128165614779
35,0.193481,0.945475507288,0.683148106147,0.194091,0.944519937101,0.659608258338,0.127506428784
