epoch,val_loss,val_tags_f,val_f_rm,test_loss,test_tags_f,test_f_rm,train_loss
1,100.0,0.775063684006,0.0667514036242,100.0,0.775199356837,0.0510280448771,0.588365503989
2,100.0,0.787251805711,0.0727100889639,100.0,0.787942433392,0.0571213924491,0.500170333649
3,100.0,0.791586655904,0.0752348895098,100.0,0.793113912078,0.0580445718115,0.476064442049
4,100.0,0.795168940444,0.0758631084407,100.0,0.79675778402,0.0585687156135,0.461367271606
5,100.0,0.79662000991,0.0771702528068,100.0,0.798573435133,0.0600120013455,0.450074444081
6,100.0,0.798646225062,0.0789449560524,100.0,0.799806879269,0.0615761164661,0.440835048542
7,100.0,0.799982124918,0.0805342600413,100.0,0.80070967373,0.0623123201246,0.432995964849
8,100.0,0.800711124448,0.0809059225743,100.0,0.801374959991,0.0623903745387,0.426119784086
9,100.0,0.801683193962,0.0821274649549,100.0,0.802025536913,0.0628001419384,0.419961726324
10,100.0,0.802488165472,0.0824167562594,100.0,0.802865784092,0.0624884985615,0.414373617422
11,100.0,0.803632145992,0.0831977655247,100.0,0.803510669599,0.063376547719,0.409211093899
12,100.0,0.804365498303,0.0836011514887,100.0,0.804564623707,0.0641094147551,0.404375934977
13,100.0,0.805672546269,0.084018457414,100.0,0.805397782072,0.0645130534928,0.399793330528
14,100.0,0.806597646274,0.0847036327851,100.0,0.806570531893,0.0651984445902,0.395409158225
15,100.0,0.807063604086,0.085844976205,100.0,0.806732985335,0.0655554678165,0.391187772113
16,100.0,0.807306770133,0.0861323220891,100.0,0.807529336557,0.0654611859828,0.387109180422
17,100.0,0.807452698177,0.0866931380826,100.0,0.807715867045,0.0661372261419,0.383156632526
18,100.0,0.807434200038,0.0866677028358,100.0,0.808556527677,0.067325492173,0.37931131536
19,100.0,0.80748298071,0.0868291426517,100.0,0.808291206109,0.0675351856282,0.375566142305
20,100.0,0.806837345452,0.0866336978169,100.0,0.808187075827,0.06774027,0.371913338262
21,100.0,0.806446699417,0.0870628920385,100.0,0.807409915623,0.0676839246757,0.368345642397
22,100.0,0.805868260313,0.0864255294839,100.0,0.807032490243,0.0676010596546,0.36485916264
23,100.0,0.806016620469,0.0865611066115,100.0,0.806102062683,0.0680081179062,0.361445529759
24,100.0,0.805170923859,0.0870899177361,100.0,0.806139522986,0.0678399920103,0.358111432703
25,100.0,0.804715920579,0.0873996006625,100.0,0.805841052681,0.0680412747663,0.354857760705
26,100.0,0.804820496477,0.0877479542297,100.0,0.805328015715,0.0681648744806,0.351680825579
27,100.0,0.804879280348,0.0882837182397,100.0,0.80488917699,0.0680285462941,0.348579202092
28,100.0,0.804024526366,0.087841434134,100.0,0.8045288018,0.0678722837811,0.345554835862
29,100.0,0.803411855429,0.0890125136451,100.0,0.803855813362,0.067986877094,0.342609148089
30,100.0,0.803550571962,0.0893146333574,100.0,0.803793533856,0.0680725900069,0.339733136258
31,100.0,0.802888706925,0.0889641601706,100.0,0.803644688601,0.068065183236,0.336929819724
32,100.0,0.802490574362,0.089015445963,100.0,0.803456158292,0.0689587236005,0.334188806421
33,100.0,0.801608346616,0.0887505587089,100.0,0.802948221534,0.0680109871357,0.331499754206
34,100.0,0.801203283962,0.0887567700882,100.0,0.80244898938,0.0680582807537,0.328870339419
35,100.0,0.80109826466,0.0892816849136,100.0,0.802343521568,0.0684038726296,0.326306177705
36,100.0,0.801007509936,0.0907104968563,100.0,0.801710272979,0.0682666062104,0.323761854007
37,100.0,0.800963829449,0.0908636587641,100.0,0.801769411965,0.0686583240156,0.32133769368
38,100.0,0.800226050221,0.0911704809041,100.0,0.801129042059,0.0687351650199,0.319014303384
39,100.0,0.799721864614,0.090436499777,100.0,0.800469132403,0.0692644019039,0.316769529144
40,100.0,0.799731722051,0.0904063945247,100.0,0.799786075628,0.0695848370626,0.31465777058
41,100.0,0.799620379355,0.0902403571701,100.0,0.799652563789,0.0693341781376,0.312562379449
42,100.0,0.799280490777,0.0912118393527,100.0,0.799668996478,0.0698761595027,0.310570523431
43,100.0,0.799279523658,0.0920942981701,100.0,0.799141165959,0.0701835680539,0.308637552661
44,100.0,0.799105617842,0.0920811726708,100.0,0.798740832824,0.0704768124313,0.306797000662
45,100.0,0.798324441437,0.0926983179323,100.0,0.798457331235,0.0702270077402,0.305112425728
46,100.0,0.798342319541,0.0916197058505,100.0,0.798318839308,0.0692944322084,0.303517696859
47,100.0,0.798148478026,0.0919013234403,100.0,0.798040669656,0.0692260273892,0.301943438435
48,100.0,0.797174737487,0.0909843036155,100.0,0.79735994078,0.0688824598527,0.300476985356
49,100.0,0.7958142264,0.0911944656698,100.0,0.796378974177,0.0690664754659,0.299043040692
50,100.0,0.7957523493,0.0919682950936,100.0,0.795909156168,0.0701474873868,0.297594808245
51,100.0,0.795143581366,0.0904736571708,100.0,0.795501119366,0.0700957681496,0.296509439042
52,100.0,0.794851062812,0.0921398889913,100.0,0.795473311611,0.0706410147038,0.295405854001
53,100.0,0.793767775336,0.0907272003583,100.0,0.794109969796,0.0703333910082,0.294806411212
54,100.0,0.793405113817,0.0924325771868,100.0,0.793792164678,0.0717539524266,0.29296191047
55,100.0,0.79304977518,0.0920593064659,100.0,0.793195193248,0.0711055552394,0.292295292379
