epoch,heldout_loss,heldout_class_loss,val_tags_f,heldout_f_rmtto,heldout_frm,heldout_tto1,heldout_tto2,test_loss,test_class_loss,test_tags_f,test_f_rmtto,test_frm,test_tto1,test_tto2,train_loss
1,0.149203889382,0.638179343404,0.946972502616,0.946972502616,0.946972502616,0.946972502616,0.946972502616,0.145453256698,0.716968233571,0.950264388185,0.950264388185,0.950264388185,0.950264388185,0.950264388185,0.230598125199
2,0.173397358207,0.509218714628,0.940991939456,0.940991939456,0.940991939456,0.940991939456,0.940991939456,0.173626166653,0.582119192699,0.941301962326,0.941301962326,0.941301962326,0.941301962326,0.941301962326,0.19279568994
3,0.221497683731,0.575511937334,0.923438191664,0.923438191664,0.923438191664,0.923438191664,0.923438191664,0.229767912435,0.665294249389,0.922094963707,0.922094963707,0.922094963707,0.922094963707,0.922094963707,0.185644834077
4,0.105375805091,0.414124062736,0.965304656887,0.965304656887,0.965304656887,0.965304656887,0.965304656887,0.106961952506,0.48879406555,0.965122582282,0.965122582282,0.965122582282,0.965122582282,0.965122582282,0.181172827794
5,0.100827771641,0.397989480152,0.967307037956,0.967307037956,0.967307037956,0.967307037956,0.967307037956,0.102508122925,0.469603911957,0.966307646305,0.966307646305,0.966307646305,0.966307646305,0.966307646305,0.177818651419
6,0.0993544348591,0.394155287747,0.968443467253,0.968443467253,0.968443467253,0.968443467253,0.968443467253,0.101156879234,0.465507314738,0.966551788936,0.966551788936,0.966551788936,0.966551788936,0.966551788936,0.175133099586
7,0.0988870318102,0.394803138832,0.968262054412,0.968262054412,0.968262054412,0.968262054412,0.968262054412,0.100819666837,0.467191470093,0.966936855804,0.966936855804,0.966936855804,0.966936855804,0.966936855804,0.172888896499
8,0.09902908461,0.397535906173,0.968136271672,0.968136271672,0.968136271672,0.968136271672,0.968136271672,0.101120806785,0.471789407817,0.966683531169,0.966683531169,0.966683531169,0.966683531169,0.966683531169,0.170942274578
9,0.0995611588661,0.401478510462,0.96794013663,0.96794013663,0.96794013663,0.96794013663,0.96794013663,0.10188837483,0.478008676812,0.966623733698,0.966623733698,0.966623733698,0.966623733698,0.966623733698,0.169213934728
10,0.1003733489,0.405866262764,0.967741580576,0.967741580576,0.967741580576,0.967741580576,0.967741580576,0.102974894481,0.484494900755,0.966429431606,0.966429431606,0.966429431606,0.966429431606,0.966429431606,0.167644278154
11,0.101317645211,0.410351267943,0.96741261481,0.96741261481,0.96741261481,0.96741261481,0.96741261481,0.104155152803,0.490472347219,0.966147585817,0.966147585817,0.966147585817,0.966147585817,0.966147585817,0.166195207016
12,0.102443270835,0.415297777098,0.966923014383,0.966923014383,0.966923014383,0.966923014383,0.966923014383,0.105446125231,0.496516778663,0.965702003816,0.965702003816,0.965702003816,0.965702003816,0.965702003816,0.164853843406
13,0.103781880978,0.421459340054,0.9666354366,0.9666354366,0.9666354366,0.9666354366,0.9666354366,0.10685212953,0.503473290837,0.965061209248,0.965061209248,0.965061209248,0.965061209248,0.965061209248,0.163608325156
14,0.105401243902,0.430108341685,0.96636090344,0.96636090344,0.96636090344,0.96636090344,0.96636090344,0.108444335271,0.512885419903,0.964451381454,0.964451381454,0.964451381454,0.964451381454,0.964451381454,0.162423866274
15,0.107445322609,0.441342482974,0.966301823584,0.966301823584,0.966301823584,0.966301823584,0.966301823584,0.110564110857,0.525189447891,0.963960319168,0.963960319168,0.963960319168,0.963960319168,0.963960319168,0.161296770955
16,0.109953526666,0.454170273296,0.965805035867,0.965805035867,0.965805035867,0.965805035867,0.965805035867,0.113136498344,0.539716196966,0.96391255415,0.96391255415,0.96391255415,0.96391255415,0.96391255415,0.160211890622
