epoch,val_loss,val_f,test_loss,test_f
1,0.42192,0.88021228226,0.386827,0.887637799205
2,0.395678,0.884854847932,0.365932,0.892894403056
3,0.418537,0.893701482125,0.390822,0.90024119985
4,0.405902,0.901378989193,0.374496,0.906808336342
5,0.439323,0.891229765062,0.406943,0.896381035821
6,0.417613,0.903193492804,0.391666,0.907149120469
7,0.389313,0.903765945661,0.365471,0.909533590024
8,0.459303,0.893825824794,0.433236,0.897593061528
9,0.467085,0.89263702608,0.433326,0.897562368485
10,0.425645,0.903323091474,0.397655,0.908295112126
11,0.484553,0.899143393762,0.457051,0.904035276821
12,0.456273,0.905637381608,0.427258,0.90992906477
13,0.452568,0.910358802702,0.428297,0.912860353146
14,0.439139,0.914878606558,0.418709,0.916470144536
15,0.456719,0.914129306181,0.433365,0.914838428291
16,0.466617,0.913531877254,0.441908,0.915135372568
17,0.48397,0.911854566489,0.460961,0.912207452017
18,0.496724,0.911455655622,0.466555,0.914754223659
19,0.487368,0.913584076948,0.461314,0.916071257305
20,0.506771,0.913390793095,0.482361,0.914943004153
21,0.504223,0.914222835018,0.476762,0.915388537015
22,0.501001,0.91340392693,0.484592,0.915875239141
23,0.508787,0.914168341555,0.48475,0.916762272627
24,0.515157,0.912845675087,0.494342,0.91399921203
25,0.516726,0.913077322934,0.493339,0.914397457901
26,0.52689,0.913682221631,0.501083,0.915563664134
27,0.52436,0.913468030371,0.502552,0.914395709718
28,0.529107,0.913067767537,0.50487,0.914966928815
29,0.527814,0.91386983462,0.504594,0.915252256722
30,0.533031,0.912809663495,0.509949,0.91439121351
31,0.533651,0.913430356901,0.507074,0.915662316137
32,0.533988,0.913521695647,0.509387,0.915076037182
33,0.53602,0.913302361637,0.511898,0.91420581355
34,0.537652,0.91321125818,0.513218,0.914672402369
35,0.538258,0.913176885401,0.514568,0.914560673676
36,0.539176,0.913272893569,0.515029,0.914426658186
37,0.53989,0.912970629799,0.516982,0.914000135537
38,0.54105,0.913176666786,0.51689,0.914592677585
39,0.540225,0.913272535989,0.515891,0.914626284097
40,0.541809,0.912880461477,0.518125,0.914151040559
41,0.541406,0.91318695788,0.517233,0.914404673707
42,0.541398,0.913081161906,0.51724,0.914469657569
43,0.542139,0.913075864125,0.517986,0.914308978675
44,0.542748,0.913080260764,0.518515,0.914493263883
45,0.542153,0.912925031144,0.518074,0.914435390141
46,0.542527,0.912994061097,0.518649,0.914154598698
47,0.5424,0.913070674554,0.518655,0.914238685551
48,0.542625,0.913072044684,0.518742,0.914280475937
49,0.542865,0.913072813585,0.518896,0.914334781629
50,0.542841,0.913039602039,0.518887,0.914476144606
51,0.542865,0.91301229476,0.518967,0.914349063012
52,0.543036,0.913051065161,0.519111,0.914351789315
53,0.54312,0.913051065161,0.519199,0.914258525073
54,0.543111,0.913068450585,0.519197,0.91429266089
55,0.543101,0.913068450585,0.519193,0.914313364874
56,0.543082,0.913068450585,0.519183,0.914301808253
57,0.543033,0.913068450585,0.519142,0.914324610986
58,0.542998,0.913061911478,0.519122,0.914302985664
59,0.542953,0.913016330711,0.51909,0.914262006657
