epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm,train_loss
1,0.368644,0.887677479681,0.128988915015,0.347198,0.894360487099,0.0921985815603,0.32401205564
2,0.352738,0.895020084694,0.238439760931,0.332656,0.901736680937,0.191821561338,0.282054464623
3,0.371482,0.889249179962,0.189425883879,0.351434,0.894600451301,0.13405238829,0.270350756981
4,0.342138,0.897150614389,0.26368159204,0.322228,0.902850535416,0.228717573986,0.259790233818
5,0.341922,0.901044733133,0.34180958013,0.32241,0.906014506636,0.308173913043,0.250248267363
6,0.331771,0.903482451845,0.424881977229,0.311886,0.907282065574,0.377097729516,0.242397732139
7,0.317959,0.903853716494,0.386930352537,0.3011,0.908786279298,0.34969737727,0.23737558776
8,0.321212,0.904497278023,0.418865805727,0.304766,0.910520144243,0.389328063241,0.232884174195
9,0.31582,0.906674091714,0.430167597765,0.300802,0.911869374943,0.392492591373,0.229822825274
10,0.31373,0.910779226382,0.501569037657,0.296549,0.915218380709,0.448189762797,0.227498897253
11,0.408215,0.894874996891,0.518815855494,0.394824,0.898612136389,0.471930351246,0.225283473461
12,0.328071,0.911684194526,0.519580240594,0.314117,0.917033886083,0.480243161094,0.223417576211
13,0.323962,0.904740853952,0.396344945745,0.307403,0.909522951755,0.363880496811,0.222010359171
14,0.332122,0.905564131912,0.402383654938,0.312287,0.910869183545,0.376494023904,0.220104523081
15,0.31463,0.910388295698,0.484120629837,0.299325,0.913276163903,0.434202161475,0.219254588662
16,0.316518,0.907981193555,0.449972662657,0.298394,0.913113748739,0.408532643827,0.217803331812
17,0.309905,0.90882218959,0.45318045318,0.2937,0.913081690018,0.417312661499,0.216520913832
18,0.33507,0.903082960163,0.368558951965,0.313034,0.908139296416,0.325773195876,0.215692355596
19,0.308732,0.908337045869,0.439755691283,0.295885,0.912291818845,0.396461336828,0.214918024447
20,0.329388,0.90609015495,0.424394319131,0.306389,0.910250685694,0.392028748775,0.214064930903
21,0.320156,0.903645951584,0.397373679703,0.300906,0.90968348452,0.356902356902,0.213366578321
22,0.344738,0.904957474049,0.41136747327,0.318746,0.909692043546,0.389858412907,0.212064015862
23,0.317407,0.908842474489,0.459291317284,0.298117,0.91324832794,0.419499679282,0.211309445526
24,0.320428,0.910254384708,0.508921644686,0.298756,0.914509845881,0.463332310525,0.21082508394
25,0.309928,0.912468271147,0.519480519481,0.29631,0.917002889462,0.487541278895,0.209813721481
26,0.316484,0.907173877489,0.423529411765,0.296992,0.912348785871,0.399213372665,0.209611164071
27,0.309523,0.910520313971,0.490216816499,0.291184,0.914283340269,0.435305283138,0.208618950827
28,0.321907,0.909701256386,0.466234467855,0.301076,0.915543323958,0.447929736512,0.208215151512
29,0.319471,0.907327724068,0.446808510638,0.301276,0.912637529174,0.4265129683,0.208097205338
30,0.330841,0.903662976355,0.391552511416,0.309861,0.909076166697,0.366131191432,0.207294897639
31,0.313068,0.906177562676,0.44922406752,0.298121,0.913242308238,0.425518341308,0.206530937322
32,0.307951,0.911297421713,0.511557023114,0.291863,0.916704994647,0.476677700873,0.20628256777
33,0.31296,0.910203390948,0.482228116711,0.294862,0.9149687062,0.442223610244,0.205845242363
34,0.339908,0.904246665618,0.398865248227,0.320212,0.909123956736,0.367455818606,0.205753003594
