epoch,val_loss,val_f,test_loss,test_f
1,0.42192,0.88021228226,0.386827,0.887637799205
2,0.395678,0.884854847932,0.365932,0.892894403056
3,0.418537,0.893701482125,0.390822,0.90024119985
4,0.405902,0.901378989193,0.374496,0.906808336342
5,0.458416,0.885043523691,0.421901,0.891917579041
6,0.447452,0.897565619761,0.414124,0.902363238658
7,0.40251,0.899782142593,0.375339,0.906479740132
8,0.44088,0.8944692793,0.413053,0.899154539466
9,0.498036,0.883477996518,0.463306,0.888517682298
10,0.459367,0.89769688592,0.426005,0.9023945844
11,0.450684,0.902308509635,0.417579,0.908562083311
12,0.460567,0.901531440287,0.430306,0.905409215166
13,0.448742,0.907171511606,0.420371,0.909635797768
14,0.446979,0.909341593337,0.418418,0.91148785062
15,0.453441,0.906103438679,0.42597,0.909077060522
16,0.454325,0.912230947378,0.420042,0.916122239844
17,0.473613,0.90534691632,0.441152,0.909097423436
18,0.509049,0.897588306423,0.468384,0.90557128799
19,0.471245,0.907769811941,0.445932,0.911746150381
20,0.477619,0.908069022599,0.455199,0.91070335396
21,0.476352,0.913481468863,0.440001,0.917050690788
22,0.489933,0.912382729935,0.461183,0.916423736682
23,0.557612,0.906709522592,0.506918,0.912343708512
24,0.522134,0.910594420278,0.480605,0.913756139847
25,0.50532,0.912363793774,0.470349,0.915120042043
26,0.533031,0.912969821957,0.49113,0.915648839201
27,0.538224,0.910110214558,0.497446,0.913311542301
